domain,signal_score,signal_trust,signals,high_trust_signals,medium_trust_signals,low_trust_signals,wildcard_dns,wildcard_addresses
asuscomm.com,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
duckdns.org,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
uk.com,24,high,api|docs|developer|developers|auth|platform|console|app|status,api|docs|developer|developers|auth|platform|console,app,status,0,""
alipay.com,23,high,api|docs|developer|developers|auth|console|app|dashboard|status,api|docs|developer|developers|auth|console,app|dashboard,status,0,""
pages.dev,23,high,api|docs|developer|auth|platform|console|app|dashboard|status,api|docs|developer|auth|platform|console,app|dashboard,status,0,""
eu.com,22,high,api|docs|developer|auth|platform|console|app|dashboard,api|docs|developer|auth|platform|console,app|dashboard,"",0,""
amap.com,20,high,api|docs|developer|auth|platform|console|app,api|docs|developer|auth|platform|console,app,"",0,""
ddns.net,20,high,api|docs|developers|auth|console|app|dashboard|status,api|docs|developers|auth|console,app|dashboard,status,0,""
rackspace.com,20,high,api|docs|developer|developers|platform|app|dashboard|status,api|docs|developer|developers|platform,app|dashboard,status,0,""
sakura.ne.jp,20,high,api|docs|developer|auth|platform|app|dashboard|status,api|docs|developer|auth|platform,app|dashboard,status,0,""
signifyd.com,20,high,api|docs|developer|auth|console|app|dashboard|status,api|docs|developer|auth|console,app|dashboard,status,0,""
sinch.com,20,high,api|docs|developer|developers|auth|app|dashboard|status,api|docs|developer|developers|auth,app|dashboard,status,0,""
altervista.org,19,high,docs|developer|developers|platform|console|app|dashboard,docs|developer|developers|platform|console,app|dashboard,"",0,""
zoho.com,19,high,api|docs|developer|developers|auth|platform|status,api|docs|developer|developers|auth|platform,"",status,0,""
cal.com,18,high,api|docs|developer|auth|console|app|status,api|docs|developer|auth|console,app,status,0,""
dingtalk.com,18,high,api|docs|developer|developers|auth|app|status,api|docs|developer|developers|auth,app,status,0,""
foursquare.com,18,high,api|docs|developer|developers|platform|app|status,api|docs|developer|developers|platform,app,status,0,""
gigs.com,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
jwplayer.com,18,high,api|docs|developer|developers|console|dashboard|status,api|docs|developer|developers|console,dashboard,status,0,""
podium.com,18,high,api|docs|developer|auth|platform|app|status,api|docs|developer|auth|platform,app,status,0,""
pp.ua,18,high,api|developer|developers|auth|console|dashboard|status,api|developer|developers|auth|console,dashboard,status,0,""
prestashop.com,18,high,api|docs|developers|auth|platform|dashboard|status,api|docs|developers|auth|platform,dashboard,status,0,""
ringcentral.com,18,high,api|docs|developer|developers|platform|app|status,api|docs|developer|developers|platform,app,status,0,""
service-now.com,18,high,developer|developers|auth|platform|console|app|status,developer|developers|auth|platform|console,app,status,0,""
x.com,18,high,api|docs|developer|developers|platform|console,api|docs|developer|developers|platform|console,"","",0,""
azure-api.net,17,high,api|developer|developers|auth|platform|dashboard,api|developer|developers|auth|platform,dashboard,"",0,""
baidu.com,17,high,api|developer|developers|auth|platform|app,api|developer|developers|auth|platform,app,"",0,""
branch.io,17,high,api|docs|developer|developers|app|dashboard|status,api|docs|developer|developers,app|dashboard,status,0,""
chartboost.com,17,high,api|docs|developers|platform|app|dashboard|status,api|docs|developers|platform,app|dashboard,status,0,""
locaweb.com.br,17,high,docs|developer|auth|console|app|dashboard|status,docs|developer|auth|console,app|dashboard,status,0,""
qq.com,17,high,api|docs|developer|auth|platform|app,api|docs|developer|auth|platform,app,"",0,""
snapchat.com,17,high,api|docs|developer|developers|auth|app,api|docs|developer|developers|auth,app,"",0,""
ticketmaster.com,17,high,api|developer|developers|auth|platform|app,api|developer|developers|auth|platform,app,"",0,""
zoominfo.com,17,high,api|docs|developer|auth|app|dashboard|status,api|docs|developer|auth,app|dashboard,status,0,""
adobe.com,16,high,api|docs|developer|developers|platform|status,api|docs|developer|developers|platform,"",status,0,""
adobe.io,16,high,api|docs|developers|platform|console|status,api|docs|developers|platform|console,"",status,0,""
atlassian.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
calendly.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
cn.com,16,high,api|docs|developer|console|app|dashboard,api|docs|developer|console,app|dashboard,"",0,""
de.com,16,high,api|developer|developers|platform|app|dashboard,api|developer|developers|platform,app|dashboard,"",0,""
dyndns.org,16,high,api|docs|developer|auth|app|dashboard,api|docs|developer|auth,app|dashboard,"",0,""
hootsuite.com,16,high,api|docs|developer|developers|platform|status,api|docs|developer|developers|platform,"",status,0,""
redhat.com,16,high,docs|developer|developers|auth|console|status,docs|developer|developers|auth|console,"",status,0,""
wikimedia.org,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
x.ai,16,high,api|docs|auth|platform|console|status,api|docs|auth|platform|console,"",status,0,""
zoho.eu,16,high,api|docs|developer|developers|platform|status,api|docs|developer|developers|platform,"",status,0,""
abtasty.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
agora.io,15,high,api|docs|developer|console|dashboard|status,api|docs|developer|console,dashboard,status,0,""
aliyun.com,15,high,api|docs|developer|console|app|status,api|docs|developer|console,app,status,0,""
amplitude.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
bale.ai,15,high,api|docs|developer|developers|auth,api|docs|developer|developers|auth,"","",0,""
checkr.com,15,high,api|docs|developer|developers|dashboard|status,api|docs|developer|developers,dashboard,status,0,""
circleci.com,15,high,api|docs|developer|auth|app|status,api|docs|developer|auth,app,status,0,""
cisco.com,15,high,api|docs|developer|platform|app|status,api|docs|developer|platform,app,status,0,""
cloudflare.com,15,high,api|docs|developer|developers|auth,api|docs|developer|developers|auth,"","",0,""
contentful.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
convex.dev,15,high,api|docs|auth|console|dashboard|status,api|docs|auth|console,dashboard,status,0,""
crazygames.com,15,high,api|docs|developer|developers|auth,api|docs|developer|developers|auth,"","",0,""
dreamdata.io,15,high,api|docs|developer|auth|app|status,api|docs|developer|auth,app,status,0,""
flexport.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
fluidstack.io,15,high,docs|auth|platform|console|dashboard|status,docs|auth|platform|console,dashboard,status,0,""
gitbook.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
greenhouse.io,15,high,api|developer|developers|auth|app|status,api|developer|developers|auth,app,status,0,""
issuu.com,15,high,api|developer|developers|auth|console,api|developer|developers|auth|console,"","",0,""
kick.com,15,high,api|docs|developers|auth|dashboard|status,api|docs|developers|auth,dashboard,status,0,""
liv.tv,15,high,api|docs|developer|developers|dashboard|status,api|docs|developer|developers,dashboard,status,0,""
lokalise.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
lowes.com,15,high,api|developer|developers|auth|console,api|developer|developers|auth|console,"","",0,""
mapquest.com,15,high,api|developer|developers|auth|platform,api|developer|developers|auth|platform,"","",0,""
medallia.com,15,high,api|docs|developer|developers|dashboard|status,api|docs|developer|developers,dashboard,status,0,""
meraki.com,15,high,api|docs|developer|developers|dashboard|status,api|docs|developer|developers,dashboard,status,0,""
opentable.com,15,high,api|docs|developers|platform|app|status,api|docs|developers|platform,app,status,0,""
optimizely.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
piano.io,15,high,api|docs|developers|auth|dashboard|status,api|docs|developers|auth,dashboard,status,0,""
picsart.com,15,high,api|developer|developers|platform|dashboard|status,api|developer|developers|platform,dashboard,status,0,""
pressreader.com,15,high,api|developers|auth|console|app|status,api|developers|auth|console,app,status,0,""
qonto.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
redislabs.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
riskified.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
rokt.com,15,high,api|docs|developer|developers|platform,api|docs|developer|developers|platform,"","",0,""
salesloft.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
siemens.com,15,high,api|docs|developer|developers|auth,api|docs|developer|developers|auth,"","",0,""
sketchup.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
snowflake.com,15,high,docs|developer|developers|auth|app|status,docs|developer|developers|auth,app,status,0,""
sportradar.com,15,high,api|docs|developer|auth|console,api|docs|developer|auth|console,"","",0,""
sprinklr.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
squareup.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
sumup.com,15,high,api|docs|developer|auth|dashboard|status,api|docs|developer|auth,dashboard,status,0,""
synology.me,15,high,developer|developers|platform|console|dashboard|status,developer|developers|platform|console,dashboard,status,0,""
tabnine.com,15,high,api|docs|auth|console|app|status,api|docs|auth|console,app,status,0,""
thousandeyes.com,15,high,api|docs|developer|platform|app|status,api|docs|developer|platform,app,status,0,""
tinfoil.sh,15,high,api|docs|auth|console|dashboard|status,api|docs|auth|console,dashboard,status,0,""
uber.com,15,high,api|docs|developer|developers|auth,api|docs|developer|developers|auth,"","",0,""
ucsd.edu,15,high,api|docs|developer|auth|dashboard|status,api|docs|developer|auth,dashboard,status,0,""
unbounce.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
us.com,15,high,api|developers|auth|platform|console,api|developers|auth|platform|console,"","",0,""
verizon.com,15,high,api|developer|developers|auth|console,api|developer|developers|auth|console,"","",0,""
yapily.com,15,high,api|docs|auth|console|dashboard|status,api|docs|auth|console,dashboard,status,0,""
yotpo.com,15,high,api|developers|auth|platform|app|status,api|developers|auth|platform,app,status,0,""
zoom.us,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
alibaba.com,14,high,api|docs|developer|auth|app,api|docs|developer|auth,app,"",0,""
brevo.com,14,high,api|developers|auth|app|dashboard|status,api|developers|auth,app|dashboard,status,0,""
brex.com,14,high,api|developer|developers|app|dashboard|status,api|developer|developers,app|dashboard,status,0,""
bytedance.com,14,high,api|developer|developers|console|app,api|developer|developers|console,app,"",0,""
