domain,signal_score,signal_trust,signals,high_trust_signals,medium_trust_signals,low_trust_signals,wildcard_dns,wildcard_addresses
100webspace.net,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
asuscomm.com,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
atwebpages.com,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
cba.pl,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
duckdns.org,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
freehostia.com,26,high,api|docs|developer|developers|auth|platform|console|app|dashboard|status,api|docs|developer|developers|auth|platform|console,app|dashboard,status,0,""
bytedance.net,24,high,api|docs|developer|developers|auth|platform|console|app|status,api|docs|developer|developers|auth|platform|console,app,status,0,""
uk.com,24,high,api|docs|developer|developers|auth|platform|console|app|status,api|docs|developer|developers|auth|platform|console,app,status,0,""
alipay.com,23,high,api|docs|developer|developers|auth|console|app|dashboard|status,api|docs|developer|developers|auth|console,app|dashboard,status,0,""
ddns.info,23,high,api|docs|developer|developers|auth|platform|app|dashboard|status,api|docs|developer|developers|auth|platform,app|dashboard,status,0,""
dynamic-dns.net,23,high,api|docs|developer|developers|auth|console|app|dashboard|status,api|docs|developer|developers|auth|console,app|dashboard,status,0,""
ikwb.com,23,high,api|docs|developer|developers|auth|platform|app|dashboard|status,api|docs|developer|developers|auth|platform,app|dashboard,status,0,""
kro.kr,23,high,api|docs|developer|developers|auth|console|app|dashboard|status,api|docs|developer|developers|auth|console,app|dashboard,status,0,""
opengw.net,23,high,api|docs|developer|developers|auth|platform|app|dashboard|status,api|docs|developer|developers|auth|platform,app|dashboard,status,0,""
pages.dev,23,high,api|docs|developer|auth|platform|console|app|dashboard|status,api|docs|developer|auth|platform|console,app|dashboard,status,0,""
softether.net,23,high,api|docs|developer|developers|auth|platform|app|dashboard|status,api|docs|developer|developers|auth|platform,app|dashboard,status,0,""
eu.com,22,high,api|docs|developer|auth|platform|console|app|dashboard,api|docs|developer|auth|platform|console,app|dashboard,"",0,""
freeddns.org,22,high,api|docs|developer|auth|platform|console|app|dashboard,api|docs|developer|auth|platform|console,app|dashboard,"",0,""
netfirms.com,21,high,api|developer|developers|auth|platform|console|dashboard|status,api|developer|developers|auth|platform|console,dashboard,status,0,""
shopware.com,21,high,api|docs|developer|developers|auth|console|app|status,api|docs|developer|developers|auth|console,app,status,0,""
alibaba-inc.com,20,high,api|docs|developer|auth|console|app|dashboard|status,api|docs|developer|auth|console,app|dashboard,status,0,""
amap.com,20,high,api|docs|developer|auth|platform|console|app,api|docs|developer|auth|platform|console,app,"",0,""
awsapps.com,20,high,api|docs|developer|developers|platform|app|dashboard|status,api|docs|developer|developers|platform,app|dashboard,status,0,""
ddns.net,20,high,api|docs|developers|auth|console|app|dashboard|status,api|docs|developers|auth|console,app|dashboard,status,0,""
dynu.net,20,high,docs|developer|auth|platform|console|app|dashboard|status,docs|developer|auth|platform|console,app|dashboard,status,0,""
fortiddns.com,20,high,api|docs|auth|platform|console|app|dashboard|status,api|docs|auth|platform|console,app|dashboard,status,0,""
isasecret.com,20,high,docs|developer|auth|platform|console|app|dashboard|status,docs|developer|auth|platform|console,app|dashboard,status,0,""
my03.com,20,high,api|docs|developer|auth|console|app|dashboard|status,api|docs|developer|auth|console,app|dashboard,status,0,""
onsip.com,20,high,api|developer|developers|auth|platform|console|app,api|developer|developers|auth|platform|console,app,"",0,""
ourhobby.com,20,high,api|docs|developer|platform|console|app|dashboard|status,api|docs|developer|platform|console,app|dashboard,status,0,""
rackspace.com,20,high,api|docs|developer|developers|platform|app|dashboard|status,api|docs|developer|developers|platform,app|dashboard,status,0,""
sakura.ne.jp,20,high,api|docs|developer|auth|platform|app|dashboard|status,api|docs|developer|auth|platform,app|dashboard,status,0,""
signifyd.com,20,high,api|docs|developer|auth|console|app|dashboard|status,api|docs|developer|auth|console,app|dashboard,status,0,""
sinch.com,20,high,api|docs|developer|developers|auth|app|dashboard|status,api|docs|developer|developers|auth,app|dashboard,status,0,""
tomsk.ru,20,high,api|docs|developer|platform|console|app|dashboard|status,api|docs|developer|platform|console,app|dashboard,status,0,""
work.gd,20,high,api|docs|developer|developers|auth|app|dashboard|status,api|docs|developer|developers|auth,app|dashboard,status,0,""
x24hr.com,20,high,api|docs|developer|auth|console|app|dashboard|status,api|docs|developer|auth|console,app|dashboard,status,0,""
ydns.eu,20,high,api|docs|developer|auth|platform|console|app,api|docs|developer|auth|platform|console,app,"",0,""
altervista.org,19,high,docs|developer|developers|platform|console|app|dashboard,docs|developer|developers|platform|console,app|dashboard,"",0,""
alwaysdata.net,19,high,api|developer|auth|platform|console|app|dashboard,api|developer|auth|platform|console,app|dashboard,"",0,""
com,19,high,docs|developer|developers|platform|console|app|dashboard,docs|developer|developers|platform|console,app|dashboard,"",0,""
livenation.com,19,high,api|developer|developers|auth|console|app|dashboard,api|developer|developers|auth|console,app|dashboard,"",0,""
zoho.com,19,high,api|docs|developer|developers|auth|platform|status,api|docs|developer|developers|auth|platform,"",status,0,""
25u.com,18,high,api|docs|developer|platform|console|dashboard|status,api|docs|developer|platform|console,dashboard,status,0,""
aliyun-inc.com,18,high,api|docs|developer|platform|console|dashboard|status,api|docs|developer|platform|console,dashboard,status,0,""
cal.com,18,high,api|docs|developer|auth|console|app|status,api|docs|developer|auth|console,app,status,0,""
changeip.org,18,high,api|docs|developer|auth|console|app|status,api|docs|developer|auth|console,app,status,0,""
cj.com,18,high,api|docs|developer|developers|platform|console,api|docs|developer|developers|platform|console,"","",0,""
dingtalk.com,18,high,api|docs|developer|developers|auth|app|status,api|docs|developer|developers|auth,app,status,0,""
drata.com,18,high,api|docs|developer|developers|auth|app|status,api|docs|developer|developers|auth,app,status,0,""
dwolla.com,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
foursquare.com,18,high,api|docs|developer|developers|platform|app|status,api|docs|developer|developers|platform,app,status,0,""
frontiersecu.com,18,high,api|docs|developer|auth|platform|app|status,api|docs|developer|auth|platform,app,status,0,""
gigs.com,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
iugu.com,18,high,api|docs|developer|auth|console|app|status,api|docs|developer|auth|console,app,status,0,""
jwplayer.com,18,high,api|docs|developer|developers|console|dashboard|status,api|docs|developer|developers|console,dashboard,status,0,""
libertymutual.com,18,high,api|docs|developer|developers|auth|platform,api|docs|developer|developers|auth|platform,"","",0,""
magic.link,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
memberstack.com,18,high,api|docs|developer|developers|auth|app|status,api|docs|developer|developers|auth,app,status,0,""
ocry.com,18,high,api|docs|developer|auth|platform|app|status,api|docs|developer|auth|platform,app,status,0,""
podium.com,18,high,api|docs|developer|auth|platform|app|status,api|docs|developer|auth|platform,app,status,0,""
prestashop.com,18,high,api|docs|developers|auth|platform|dashboard|status,api|docs|developers|auth|platform,dashboard,status,0,""
ringcentral.com,18,high,api|docs|developer|developers|platform|app|status,api|docs|developer|developers|platform,app,status,0,""
sangoma.com,18,high,api|docs|developer|developers|auth|app|status,api|docs|developer|developers|auth,app,status,0,""
service-now.com,18,high,developer|developers|auth|platform|console|app|status,developer|developers|auth|platform|console,app,status,0,""
sisense.com,18,high,api|docs|developer|developers|console|app|status,api|docs|developer|developers|console,app,status,0,""
subsplash.com,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
workiz.com,18,high,api|docs|developer|auth|platform|app|status,api|docs|developer|auth|platform,app,status,0,""
x.com,18,high,api|docs|developer|developers|platform|console,api|docs|developer|developers|platform|console,"","",0,""
zzux.com,18,high,api|docs|developer|auth|console|app|status,api|docs|developer|auth|console,app,status,0,""
8x8.com,17,high,api|docs|developer|platform|app|dashboard|status,api|docs|developer|platform,app|dashboard,status,0,""
azure-api.net,17,high,api|developer|developers|auth|platform|dashboard,api|developer|developers|auth|platform,dashboard,"",0,""
baidu.com,17,high,api|developer|developers|auth|platform|app,api|developer|developers|auth|platform,app,"",0,""
branch.io,17,high,api|docs|developer|developers|app|dashboard|status,api|docs|developer|developers,app|dashboard,status,0,""
chartboost.com,17,high,api|docs|developers|platform|app|dashboard|status,api|docs|developers|platform,app|dashboard,status,0,""
ddns.us,17,high,developer|developers|platform|console|app|dashboard|status,developer|developers|platform|console,app|dashboard,status,0,""
deriv.com,17,high,api|docs|developer|developers|auth|app,api|docs|developer|developers|auth,app,"",0,""
discoveryeducation.com,17,high,api|docs|developers|auth|platform|app,api|docs|developers|auth|platform,app,"",0,""
dothome.co.kr,17,high,api|docs|developer|developers|platform|app,api|docs|developer|developers|platform,app,"",0,""
envoy.com,17,high,api|developer|developers|auth|app|dashboard|status,api|developer|developers|auth,app|dashboard,status,0,""
f3322.net,17,high,api|developer|auth|platform|console|app,api|developer|auth|platform|console,app,"",0,""
freeddns.com,17,high,api|docs|developer|console|app|dashboard|status,api|docs|developer|console,app|dashboard,status,0,""
joann.com,17,high,docs|developer|auth|platform|console|dashboard,docs|developer|auth|platform|console,dashboard,"",0,""
jpmorgan.com,17,high,api|docs|developer|auth|platform|app,api|docs|developer|auth|platform,app,"",0,""
locaweb.com.br,17,high,docs|developer|auth|console|app|dashboard|status,docs|developer|auth|console,app|dashboard,status,0,""
mywire.org,17,high,docs|developer|auth|platform|console|app,docs|developer|auth|platform|console,app,"",0,""
onmypc.net,17,high,api|docs|developer|console|app|dashboard|status,api|docs|developer|console,app|dashboard,status,0,""
powerreviews.com,17,high,api|docs|developers|auth|app|dashboard|status,api|docs|developers|auth,app|dashboard,status,0,""
qq.com,17,high,api|docs|developer|auth|platform|app,api|docs|developer|auth|platform,app,"",0,""
snapchat.com,17,high,api|docs|developer|developers|auth|app,api|docs|developer|developers|auth,app,"",0,""
stg-myteksi.com,17,high,api|docs|developer|developers|console|app,api|docs|developer|developers|console,app,"",0,""
ticketmaster.com,17,high,api|developer|developers|auth|platform|app,api|developer|developers|auth|platform,app,"",0,""
tray.io,17,high,api|docs|developer|auth|app|dashboard|status,api|docs|developer|auth,app|dashboard,status,0,""
tw1.ru,17,high,api|developer|auth|platform|console|app,api|developer|auth|platform|console,app,"",0,""
usebutton.com,17,high,api|developer|developers|platform|app|dashboard|status,api|developer|developers|platform,app|dashboard,status,0,""
what3words.com,17,high,api|docs|developer|developers|auth|app,api|docs|developer|developers|auth,app,"",0,""
xxxy.info,17,high,api|developer|developers|platform|app|dashboard|status,api|developer|developers|platform,app|dashboard,status,0,""
zalopay.vn,17,high,api|docs|developer|developers|auth|dashboard,api|docs|developer|developers|auth,dashboard,"",0,""
zerion.io,17,high,api|docs|developer|developers|app|dashboard|status,api|docs|developer|developers,app|dashboard,status,0,""
zonos.com,17,high,api|docs|developer|auth|app|dashboard|status,api|docs|developer|auth,app|dashboard,status,0,""
zoominfo.com,17,high,api|docs|developer|auth|app|dashboard|status,api|docs|developer|auth,app|dashboard,status,0,""
zyns.com,17,high,api|docs|developer|auth|platform|app,api|docs|developer|auth|platform,app,"",0,""
adobe.com,16,high,api|docs|developer|developers|platform|status,api|docs|developer|developers|platform,"",status,0,""
adobe.io,16,high,api|docs|developers|platform|console|status,api|docs|developers|platform|console,"",status,0,""
aiven.io,16,high,api|docs|developer|developers|console|status,api|docs|developer|developers|console,"",status,0,""
akeyless.io,16,high,api|docs|developer|auth|console|status,api|docs|developer|auth|console,"",status,0,""
atlassian.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
automox.com,16,high,api|docs|developer|auth|console|status,api|docs|developer|auth|console,"",status,0,""
calendly.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
candescent.com,16,high,api|docs|developer|auth|console|status,api|docs|developer|auth|console,"",status,0,""
centra.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
cn.com,16,high,api|docs|developer|console|app|dashboard,api|docs|developer|console,app|dashboard,"",0,""
com.de,16,high,developer|developers|auth|platform|app|dashboard,developer|developers|auth|platform,app|dashboard,"",0,""
ddnsfree.com,16,high,docs|developer|auth|platform|console|status,docs|developer|auth|platform|console,"",status,0,""
de.com,16,high,api|developer|developers|platform|app|dashboard,api|developer|developers|platform,app|dashboard,"",0,""
denakop.com,16,high,api|docs|auth|console|app|dashboard,api|docs|auth|console,app|dashboard,"",0,""
dyndns.org,16,high,api|docs|developer|auth|app|dashboard,api|docs|developer|auth,app|dashboard,"",0,""
equinix.com,16,high,api|docs|developer|auth|console|status,api|docs|developer|auth|console,"",status,0,""
exotel.com,16,high,api|docs|developer|platform|console|status,api|docs|developer|platform|console,"",status,0,""
hootsuite.com,16,high,api|docs|developer|developers|platform|status,api|docs|developer|developers|platform,"",status,0,""
ionos.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
kik.com,16,high,api|developer|developers|auth|platform|status,api|developer|developers|auth|platform,"",status,0,""
microblink.com,16,high,api|docs|developer|auth|platform|status,api|docs|developer|auth|platform,"",status,0,""
motorolasolutions.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
mypinata.cloud,16,high,api|docs|auth|platform|app|dashboard,api|docs|auth|platform,app|dashboard,"",0,""
