run_id,scanned_at,domain,name,source,source_family,icp_tier,icp_score,signal_score,signal_trust,tags,location,batch,team_size,one_liner,description,company_url,source_url,has_api,has_mcp,outreach_priority,outreach_reason,scan_status,source_file,website_checked_at,website_status,website_active,website_http_code,website_scheme,website_final_url,website_error,website_meta_checked_at,website_title,website_meta_description,website_og_description,tag_scanned,tag_outreach_ready,tag_excluded_mcp,tag_needs_review,tag_website_active,tag_invalid_domain,tag_high_profile,tag_germany,tag_eu,tag_fintech,tag_devtools,tag_security,tag_ai,tag_data,tag_infra,tag_hr,tag_productivity,tag_b2b,priority_score,recommended_segment,master_tags,sheet_status,owner,contact_name,contact_email,linkedin_url,first_message_angle,notes,business_status_checked_at,business_status_score,business_status,business_status_confidence,business_status_reason,business_status_evidence_urls,signal_site_live,signal_brand_metadata,signal_product_surface,signal_docs_surface,signal_status_surface,signal_app_surface,signal_hiring_surface,signal_recent_content,business_status_signal_count,ecommerce_score,ecommerce_confidence,ecommerce_positive_reasons,ecommerce_negative_reasons,ecommerce_reason_summary,explicit_shopify_signal,explicit_shopify_reasons
20260313T154441Z-ad9651bb,2026-03-13 15:53:50,dafiti.com.br,Dafiti,hv_capital,vc_portfolio,ICP 1,5,,,consumer,"SaoPaulo, Brazil",exit,,"Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.","Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.",https://www.dafiti.com.br/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:09Z,active,1,200,https,https://www.dafiti.com.br/,,2026-03-13T21:52:36Z,"Dafiti: Promoo de Sapatos, Roupas, Bolsas e Mais","Na Dafiti voc encontra as melhores marcas de sapatos, roupas, bolsas, acessrios, perfumes, produtos de beleza e decorao em promoo. Aproveite!",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,global_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:21:59Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; content/news surface found,https://www.dafiti.com.br/ | https://www.dafiti.com.br/docs | https://www.dafiti.com.br/status | https://www.dafiti.com.br/login | https://www.dafiti.com.br/company/careers | https://www.dafiti.com.br/news,1,1,1,1,1,1,1,0,4,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:46:47,enamora.de,Enamora,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Enamora is the German market’s leading online shop for lingerie and underwear. With a selection of virtually all of the leading brands, availability of many sizes and extremely high customer satisfaction, Enamora has established itself as the place to go for consumers looking for lingerie and underwear. In January 2010, Enamora became an affiliate of 7trends.","Enamora is the German market’s leading online shop for lingerie and underwear. With a selection of virtually all of the leading brands, availability of many sizes and extremely high customer satisfaction, Enamora has established itself as the place to go for consumers looking for lingerie and underwear. In January 2010, Enamora became an affiliate of 7trends.",http://www.enamora.de/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:58Z,active,1,200,https,https://enamora.de,,2026-03-13T21:52:44Z,"Enamora Ihre Quelle Fr Schnheit, Mode Und Lifestyle","Tauchen Sie ein in die Welt von Enamora und entdecken Sie Schnheit, Mode und Lifestyle in ihrer vollen Pracht. Finden Sie hier alles, was Ihr Herz begehrt.","Tauchen Sie ein in die Welt von Enamora und entdecken Sie Schnheit, Mode und Lifestyle in ihrer vollen Pracht. Finden Sie hier alles, was Ihr Herz begehrt.",1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:23:03Z,11,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; app/login surface found; recent content signal found,https://enamora.de | https://enamora.de/docs | https://enamora.de/app | https://enamora.de/news,1,1,1,1,0,1,0,1,4,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:49:20,pamono.com,Pamono,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Pamono is the ultimate resource for exploring, discovering and collecting extraordinary design from around the world. The company brings you material from the world’s most exclusive galleries and makers. Pamono offers design collectibles and combines vivid, original content with integrated e-commerce, while setting a high value on excellent customer service and 100% quality assurance.","Pamono is the ultimate resource for exploring, discovering and collecting extraordinary design from around the world. The company brings you material from the world’s most exclusive galleries and makers. Pamono offers design collectibles and combines vivid, original content with integrated e-commerce, while setting a high value on excellent customer service and 100% quality assurance.",http://www.pamono.com/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:03Z,active,1,200,https,https://www.pamono.com/,,2026-03-13T21:53:33Z,"Pamono - Vintage & Antique Furniture, Lighting & Art","Shop vintage, antique, mid-century and contemporary furniture, lighting, art & jewelry from the best dealers and designers. Worldwide Shipping.",,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:30:59Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.pamono.com/ | https://docs.pamono.com | https://www.pamono.com/status | https://app.pamono.com | https://www.pamono.com/careers | https://www.pamono.com/blog,1,1,1,1,1,1,1,1,5,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:53:19,depop.com,DEPOP,hv_capital,vc_portfolio,ICP 1,5,,,marketplace,"London, UK",exit,,"Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.","Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.",https://www.depop.com/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:08Z,active,1,200,https,https://www.depop.com/,,2026-03-13T21:52:37Z,"Depop - buy, sell, discover unique fashion",Designer. Preloved. Vintage. Streetwear. Sneakers. Whatever your style. Find it on Depop.,Designer. Preloved. Vintage. Streetwear. Sneakers. Whatever your style. Find it on Depop.,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,eu_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:22:04Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.depop.com/ | https://www.depop.com/docs | https://www.depop.com/status | https://www.depop.com/login | https://www.depop.com/jobs | https://www.depop.com/blog,1,1,1,1,1,1,1,1,5,13,high,marketplace_term|category_term|consumer_term,,marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:07:11,ebay.com,ebay.com,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:36Z,active,1,200,https,https://www.ebay.com/,,2026-03-13T21:52:45Z,"Electronics, Cars, Fashion, Collectibles & More | eBay","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items.","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:22:50Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.ebay.com/ | https://docs.ebay.com | https://www.ebay.com/status | https://www.ebay.com/app | https://www.ebay.com/careers | https://www.ebay.com/blog,1,1,1,1,1,1,1,1,5,13,high,marketplace_term|category_term|consumer_term,,marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:48:09,fashionforhome.de,Fashion For Home,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Fashion For Home is the online shop for designer furniture with an unbeatable price-performance ratio. Fashion For Home offers designer furniture online in Germany and selected international markets at prices which are up to 80% lower than those of traditional furniture stores. In addition to the online shop, local showrooms market the products and brands to consumers in most major German cities. In 2015, Fashion for Home was acquired by Home24.","Fashion For Home is the online shop for designer furniture with an unbeatable price-performance ratio. Fashion For Home offers designer furniture online in Germany and selected international markets at prices which are up to 80% lower than those of traditional furniture stores. In addition to the online shop, local showrooms market the products and brands to consumers in most major German cities. In 2015, Fashion for Home was acquired by Home24.",http://www.fashionforhome.de/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:58Z,blocked,1,403,https,https://fashionforhome.de,,2026-03-13T21:52:48Z,home24,,,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:23:31Z,11,active,high,site=blocked; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found,https://fashionforhome.de | https://fashionforhome.de/docs | https://fashionforhome.de/status | https://fashionforhome.de/login | https://fashionforhome.de/careers,1,1,1,1,1,1,1,0,4,13,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:16:06,lazada.com.ph,lazada.com.ph,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:56Z,active,1,200,https,https://www.lazada.com.ph/,,2026-03-13T21:53:15Z,"Lazada Philippines | Best Deals & Free Shipping, Shop Now!","Explore Lazada Philippines for diverse electronics, trending fashion, beauty essentials, and fun toys. Enjoy easy online shopping for genuine products and find amazing offers. Your next favorite item is just a click away",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:27:43Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.lazada.com.ph/ | https://www.lazada.com.ph/docs | https://www.lazada.com.ph/app | https://www.lazada.com.ph/careers | https://www.lazada.com.ph/blog,1,1,1,1,0,1,1,1,5,13,medium,commerce_term|category_term,,commerce_term|category_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:16:06,lazada.sg,lazada.sg,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:56Z,active,1,200,https,https://www.lazada.sg/,,2026-03-13T21:53:15Z,Lazada Singapore | Always The Better Price & Free Shipping,"Shop Lazada Singapore for better price on electronics, fashion, groceries & more. Enjoy LazMall, RedMart, fast & free shipping, plus COD. Effortless online shopping starts here!",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:27:42Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.lazada.sg/ | https://www.lazada.sg/docs | https://www.lazada.sg/app | https://www.lazada.sg/careers | https://www.lazada.sg/blog,1,1,1,1,0,1,1,1,5,13,medium,commerce_term|category_term,,commerce_term|category_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:53:11,shpock.com,Shpock,speedinvest,vc_portfolio,ICP 1,6,,,Marketplaces & Consumer,Austria,2011,,One of Europe’s most popular shopping apps.,Shpock (acquired in 2014) is a mobile marketplace that brings millions of private buyers and sellers together in categories that range from electronics and fashion to cars and property.,https://www.shpock.com/,https://www.speedinvest.com/portfolio/,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:08Z,active,1,200,https,https://www.shpock.com/de-de,,2026-03-13T21:53:50Z,Shpock | Kaufen und Verkaufen in meiner Nhe,Kaufe und Verkaufe in deiner Nhe!,Kaufe und Verkaufe in deiner Nhe!,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,eu_tier1,high|scanned_previous|vc_portfolio|speedinvest|icp_1|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:33:31Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.shpock.com/de-de | https://docs.shpock.com | https://status.shpock.com | https://www.shpock.com/de-de/app | https://www.shpock.com/de-de/careers | https://www.shpock.com/de-de/blog,1,1,1,1,1,1,1,1,5,13,high,marketplace_term|category_term|consumer_term,,marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:45:43,21diamonds.de,21Diamonds,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Munich, Germany",exit,,"21Diamonds is an online jeweler allowing its customers to create individual genuine jewelry. Users can mix-and-match from a wide selection of gemstones and various precious metals and thereby create their perfect ring, necklace or earring.","21Diamonds is an online jeweler allowing its customers to create individual genuine jewelry. Users can mix-and-match from a wide selection of gemstones and various precious metals and thereby create their perfect ring, necklace or earring.",http://www.21diamonds.de/,https://www.hvcapital.com/companies,0,0,low,No public API signal found,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:56Z,active,1,200,https,https://www.21diamonds.de/,,2026-03-13T21:52:09Z,Verlobungsringe & Eheringe online kaufen | 21Diamonds,Verlobungsringe und Eheringe in kunstvoller Handarbeit hergestellt | 21DIAMONDS Gratis Versand 60 Tage Rckgabe 100% Made in Germany,Verlobungsringe und Eheringe in kunstvoller Handarbeit hergestellt | 21DIAMONDS Gratis Versand 60 Tage Rckgabe 100% Made in Germany,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,15,review_later,low|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|website_active,,,,,,,,2026-03-13T23:17:26Z,11,active,high,site=active; homepage metadata present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.21diamonds.de/ | https://www.21diamonds.de/docs | https://www.21diamonds.de/status | https://www.21diamonds.de/app | https://www.21diamonds.de/careers | https://www.21diamonds.de/blog,1,1,0,1,1,1,1,1,4,12,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
